,French,English
0,histoire,history
1,chercher,search
2,seulement,only
3,pensais,thought
4,demande,request
5,genre,kind
6,mois,month
7,frère,brother
8,laisser,let
9,car,because
10,mettre,to put
11,aucun,no
12,laisse,leash
13,eux,them
14,ville,city
15,chaque,each
16,parlé,speak
17,arrivé,come
18,devrait,should
19,bébé,baby
20,longtemps,long time
21,heures,hours
22,vont,will
23,pendant,while
24,revoir,meet again
25,aucune,any
26,place,square
27,parle,speak
28,compris,understood
29,savais,knew
30,étaient,were
31,voici,here is
32,pourrais,could
33,affaire,case
34,donner,give
35,type,type
36,leurs,their
37,donné,given
38,train,train
39,endroit,place
40,yeux,eyes
41,façon,way
42,écoute,listen
43,dont,whose
44,trouve,find
45,premier,first
46,perdu,lost
47,main,hand
48,première,first
49,pouvoir,power
50,vieux,old
51,sois,be
52,tiens,here
53,matin,morning
54,tellement,so much
55,enfant,child
56,point,point
57,venu,came
58,suite,after
59,pardon,sorry
60,venez,come
61,devant,in front of
62,vers,towards
63,minutes,minutes
64,demandé,request
65,chambre,bedroom
66,mis,placed
67,droit,law
68,aimerais,would like to
69,aujourd'hui,today
70,mari,husband
71,cause,cause
72,enfin,finally
73,espère,hope
74,eau,water
75,parti,left
76,nouvelle,new
77,boulot,job
78,arrêter,Stop
79,terre,Earth
80,compte,account
81,donne,given
82,loin,far
83,fin,end
84,croire,believe
85,chérie,sweetheart
86,gros,large
87,plutôt,rather
88,aura,will have
89,filles,girls
90,bureau,office
